FullName,University,JoinYear,SubField,Bachelors,Doctorate
Jian Ma,Carnegie Mellon University,2016,Comp. Bio & Bioinformatics,Fudan University,Pennsylvania State University
Jodi Forlizzi,Carnegie Mellon University,2000,Human-Computer Interaction,The University of the Arts,Carnegie Mellon University
John Anderson,Carnegie Mellon University,1978,Human-Computer Interaction,University of British Columbia,Stanford University
John C. Stamper,Carnegie Mellon University,2015,Human-Computer Interaction,Miami University,University of North Carolina at Chapel Hill
John Zimmerman,Carnegie Mellon University,2002,Human-Computer Interaction,Carnegie Mellon University,
Jonathan Aldrich,Carnegie Mellon University,2003,Software Engineering,California Institute of Technology,University of Washington
Jun-Yan Zhu,Carnegie Mellon University,2020,Computer Graphics,Tsinghua University,"University of California, Berkeley"
Justine Cassell,Carnegie Mellon University,2010,Artificial Intelligence,Dartmouth College,University of Chicago
Justine Sherry,Carnegie Mellon University,2017,Computer Networks,University of Washington,"University of California, Berkeley"
K. V. Rashmi,Carnegie Mellon University,2017,,National Institute of Technology Karnataka,"University of California, Berkeley"
Karl Crary,Carnegie Mellon University,1998,Programming Languages,Carnegie Mellon University,Cornell University
Katerina Fragkiadaki,Carnegie Mellon University,2016,Machine Learning & Data Mining,National Technical University of Athens,University of Pennsylvania
Kathleen M. Carley,Carnegie Mellon University,1984,Computer Networks,Massachusetts Institute of Technology,Harvard University
Kathryn Roeder,Carnegie Mellon University,1994,Comp. Bio & Bioinformatics,University of Idaho,Pennsylvania State University
Keenan Crane,Carnegie Mellon University,2015,Robotics,University of Illinois at Urbana-Champaign,California Institute of Technology
Kemal Oflazer,Carnegie Mellon University,2008,Programming Languages,Middle East Technical University,Carnegie Mellon University
Ken Koedinger,Carnegie Mellon University,2005,Human-Computer Interaction,University of Wisconsin-Madison,Carnegie Mellon University
Kun Zhang,Carnegie Mellon University,2015,Machine Learning & Data Mining,,The Chinese University of Hong Kong
Larry Wasserman,Carnegie Mellon University,1988,Machine Learning & Data Mining,,University of Toronto
Laura A. Dabbish,Carnegie Mellon University,2012,Human-Computer Interaction,University of Southern California,Carnegie Mellon University
Leman Akoglu,Carnegie Mellon University,2016,Machine Learning & Data Mining,Bilkent University,Carnegie Mellon University
Lenore Blum,Carnegie Mellon University,1999,Algorithms & Complexity,Carnegie Institute of Technology,Massachusetts Institute of Technology
Levent Burak Kara,Carnegie Mellon University,2007,Machine Learning & Data Mining,Middle East Technical University,Carnegie Mellon University
Lining Yao,Carnegie Mellon University,2017,Human-Computer Interaction,Zhejiang University,Massachusetts Institute of Technology
Lorrie Faith Cranor,Carnegie Mellon University,2014,Human-Computer Interaction,Washington University in St. Louis,Washington University in St. Louis
Louis-Philippe Morency,Carnegie Mellon University,2014,Machine Learning & Data Mining,Université Laval,Massachusetts Institute of Technology
Luis von Ahn,Carnegie Mellon University,2006,Computer Security,Duke University,Carnegie Mellon University
Lujo Bauer,Carnegie Mellon University,2004,Computer Security,Yale University,Princeton University
M. Satyanarayanan,Carnegie Mellon University,2001,Computer Security,Indian Institute of Technology Madras,Carnegie Mellon University
Manuel Blum,Carnegie Mellon University,1999,Cryptography,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Manuela Veloso,Carnegie Mellon University,1997,Artificial Intelligence,,Carnegie Mellon University
Maria-Florina Balcan,Carnegie Mellon University,2014,Machine Learning & Data Mining,University of Bucharest,Carnegie Mellon University
Martial Hebert,Carnegie Mellon University,2015,Robotics,,
Mary Shaw,Carnegie Mellon University,1972,Software Engineering,Rice University,Carnegie Mellon University
Matt Fredrikson,Carnegie Mellon University,2015,Computer Security,Duquesne University,University of Wisconsin-Madison
Matthew O'Toole,Carnegie Mellon University,,Robotics,Carnegie Mellon University,University of Toronto
Matthew T. Mason,Carnegie Mellon University,1982,Robotics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Maxim Likhachev,Carnegie Mellon University,2010,Robotics,Stevens Institute of Technology,Carnegie Mellon University
Mayank Goel,Carnegie Mellon University,2016,Human-Computer Interaction,Maharaja Agrasen Institute of Technology,University of Washington
Michael A. Erdmann,Carnegie Mellon University,1989,Robotics,University of Washington,Carnegie Mellon University
Michael I. Shamos,Carnegie Mellon University,2001,Artificial Intelligence,Princeton University,Yale University
Mor Harchol-Balter,Carnegie Mellon University,1999,Scientific Computing,Brandeis University,"University of California, Berkeley"
Nancy S. Pollard,Carnegie Mellon University,2005,Human-Computer Interaction,,Massachusetts Institute of Technology
Nathan Beckmann,Carnegie Mellon University,2017,Computer Architecture,"University of California, Los Angeles",Massachusetts Institute of Technology
Nicolas Christin,Carnegie Mellon University,2005,Computer Networks,École Centrale de Lille,University of Virginia
Nihar B. Shah,Carnegie Mellon University,2017,Machine Learning & Data Mining,National Institute of Technology Karnataka,"University of California, Berkeley"
Niki Kittur,Carnegie Mellon University,2009,Human-Computer Interaction,Princeton University,"University of California, Los Angeles"
Nina Balcan,Carnegie Mellon University,2014,Machine Learning & Data Mining,University of Bucharest,Carnegie Mellon University
Norman M. Sadeh,Carnegie Mellon University,1991,Computer Security,Free University of Brussels,Carnegie Mellon University
Patrick Carrington,Carnegie Mellon University,2017,Human-Computer Interaction,University of Maryland,University of Maryland
Pedro Ferreira,Carnegie Mellon University,2009,The Web & Information Retrieval,,Carnegie Mellon University
Peter Steenkiste,Carnegie Mellon University,1987,Computer Networks,Ghent University,Stanford University
Phillip B. Gibbons,Carnegie Mellon University,2015,Databases,Dartmouth College,"University of California, Berkeley"
Pradeep Ravikumar,Carnegie Mellon University,2016,Machine Learning & Data Mining,Indian Institute of Technology Bombay,Carnegie Mellon University
Priya Narasimhan,Carnegie Mellon University,2001,Embedded & Real-Time Systems,,"University of California, Santa Barbara"
Radu Marculescu,Carnegie Mellon University,2000,Embedded & Real-Time Systems,,University of Southern California
Raj Reddy,Carnegie Mellon University,1969,Artificial Intelligence,University of Madras,Stanford University
Randal E. Bryant,Carnegie Mellon University,1984,Interdisciplinary Areas,University of Michigan,Massachusetts Institute of Technology
Rayid Ghani,Carnegie Mellon University,2019,Machine Learning & Data Mining,Sewanee: The University of the South,Carnegie Mellon University
Red Whittaker,Carnegie Mellon University,1980,Robotics,Princeton University,Carnegie Mellon University
Richard M. Stern,Carnegie Mellon University,1977,Natural Language Processing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Robert E. Kraut,Carnegie Mellon University,1993,Human-Computer Interaction,Lehigh University,Yale University
Robert F. Murphy,Carnegie Mellon University,2003,Comp. Bio & Bioinformatics,Columbia University,California Institute of Technology
Robert Harper,Carnegie Mellon University,1988,Computer Security,,Cornell University
Roger B. Dannenberg,Carnegie Mellon University,1982,Human-Computer Interaction,Rice University,Carnegie Mellon University
Ronald Rosenfeld,Carnegie Mellon University,1994,Machine Learning & Data Mining,Tel Aviv University,Carnegie Mellon University
Roy Maxion,Carnegie Mellon University,1984,Human-Computer Interaction,,University of Colorado Boulder
Ruslan Salakhutdinov,Carnegie Mellon University,2016,Machine Learning & Data Mining,High Point University,University of Toronto
Russell Schwartz,Carnegie Mellon University,2002,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Ryan O'Donnell,Carnegie Mellon University,2017,Artificial Intelligence,University of Toronto,Massachusetts Institute of Technology
Ryan Tibshirani,Carnegie Mellon University,2011,Machine Learning & Data Mining,Stanford University,Stanford University
Sara B. Kiesler,Carnegie Mellon University,,Human-Computer Interaction,Simmons University,Ohio State University
Scott E. Hudson,Carnegie Mellon University,1997,Human-Computer Interaction,Arizona State University,University of Colorado Boulder
Serguey Braguinsky,Carnegie Mellon University,2008,,Moscow State University,Keio University
Seth Copen Goldstein,Carnegie Mellon University,1996,High-Performance Computing,Princeton University,"University of California, Berkeley"
Seyoung Kim,Carnegie Mellon University,2015,Machine Learning & Data Mining,Seoul National University,"University of California, Irvine"
Simon Lucey,Carnegie Mellon University,2009,Robotics,University of Southern Queensland,Queensland University of Technology
Sivaraman Balakrishnan,Carnegie Mellon University,2013,Algorithms & Complexity,"University of California, Berkeley",Carnegie Mellon University
Srinivasa G. Narasimhan,Carnegie Mellon University,,Visualization,,Columbia University
Srinivasan Seshan,Carnegie Mellon University,2000,Machine Learning & Data Mining,"University of California, Berkeley","University of California, Berkeley"
Stephen Brookes,Carnegie Mellon University,,Programming Languages,,University of Oxford
Steven Rudich,Carnegie Mellon University,1989,Algorithms & Complexity,Wesleyan University,"University of California, Berkeley"
Tai Sing Lee,Carnegie Mellon University,2000,Machine Learning & Data Mining,Harvard University,Harvard University
Takeo Kanade,Carnegie Mellon University,1980,Computer Vision,Kyoto University,Kyoto University
